row_index,row_name,Name,StarSystemName,PosX,PosY,SystemType,SpectralType,Luminosity,SubType,SystemStatus,ChargingStation,Orbitals,Habitable,Description,Cluster,ClusterOverlay,ClusterConstellation
0,0,0,INVALID,0.0,0.0,Normal,None,,0,Normal,None,Unspecified,Unspecified,ÿ,,None,None
1,1,1,Terra,0.0,0.0,Normal,G,V,2,Normal,None,C_8,H_0,"MW5_InnerSphereData ! 220307F94DB4F61C92C1EF876D48B1E6 T h e b i r t h p l a c e o f h u m a n i t y , T e r r a ( o r E a r t h ) , r e m a i n s a l e a d e r i n i n d u s t r y a n d t e c h n o l o g y o v e r t h e r e s t o f t h e I",MWFactionAsset:RepairSystem,None,None
2,4001,4001,Santiago IV,-365.9739990234375,930.9940185546875,Normal,F,V,1,Normal,None,Unspecified,Unspecified,ÿ,,None,None
3,4002,4002,Mostaganem,-996.5070190429688,100.03399658203125,Normal,K,V,2,Normal,None,Unspecified,Unspecified,ÿ,,None,None
4,4003,4003,Halkidik,982.3289794921875,202.08200073242188,Normal,F,V,7,Normal,None,Unspecified,Unspecified,ÿ,,None,None
5,4004,4004,SLSC A0V.4900 (Monument to Man),852.9299926757812,538.7559814453125,Normal,M,V,1,Normal,None,Unspecified,Unspecified,ÿ,,None,None
6,4005,4005,Lemnos,990.468994140625,192.53799438476562,Normal,K,V,7,Normal,None,Unspecified,Unspecified,ÿ,,None,None
7,4006,4006,Köl�,-705.9190063476562,721.7230224609375,Normal,G,V,1,Normal,None,Unspecified,Unspecified,ÿ,,None,None
8,4007,4007,Tadjoura,-995.551025390625,174.9250030517578,Normal,F,V,6,Normal,None,Unspecified,Unspecified,ÿ,,None,None
9,4008,4008,Nyamlell,-999.989990234375,149.70199584960938,Normal,G,V,2,Normal,None,Unspecified,Unspecified,ÿ,,None,None
10,4009,4009,Anglia,994.4639892578125,204.91799926757812,Normal,F,V,7,Normal,None,Unspecified,Unspecified,ÿ,,None,None
11,4010,4010,Saidia,-1008.1599731445312,124.2020034790039,Normal,G,V,7,Normal,None,Unspecified,Unspecified,ÿ,,None,None
12,4011,4011,Hamburg,-624.7559814453125,807.2260131835938,Normal,K,V,7,Normal,None,Unspecified,Unspecified,ÿ,,None,None
13,4012,4012,Thorn,-774.4299926757812,666.56201171875,Normal,G,V,4,Normal,None,Unspecified,Unspecified,ÿ,,None,None
