---,Name,StarSystemName,PosX,PosY,SystemType,SpectralType,Luminosity,SubType,SystemStatus,ChargingStation,Orbitals,Habitable,Description,Cluster,ClusterOverlay,ClusterConstellation
0,0,INVALID,0.000000,0.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
1,1,Terra,0.000000,0.000000,Normal,G,V,2,Normal,None,C_8,H_0,"NSLOCTEXT(""MW5_InnerSphereData [76B0142046CCF486109462A7FBE9BFCE]"", ""1_Description"", ""The birthplace of humanity, Terra (or Earth), remains a leader in industry and technology over the rest of the Inner Sphere. Terra was the seat of power for the Terran Alliance and then later the Terran Hegemony and by extension the Star League. \t\t Terra is a neutral power controlled by ComStar from 2788.  The Sol system contains multiple colonized planets, foremost are Mars and Venus. Mars is heavily colonized and is the site of multiple advanced industrial centers. The Sol system is also home to many spaceborn colonies, from the Titan Ship Yards, which produce and service Jumpships and Warships to the multiple settlements in the far-flung astroid belt, these people call themselves Belters and are often only loosely associated with each other.  --- Plagued by overcrowding and pollution in the years before mankind went to the stars, the land, air, and seas were clean once again by the twenty-sixth century, while the greatest of the planet‘s many cities were restored and improved."")","(Id=""MWFactionAsset:RepairSystem_26"")",None,None
2,2,Tau Ceti,-13.000000,2.000000,Normal,G,V,8,Normal,None,Unspecified,H_2Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/SafezoneCollision/Safezone7_Collision.Safezone7_Collision,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/Safezone7.Safezone7
3,3,Rigil Kentarus,-3.000000,4.000000,Normal,G,V,8,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
4,4,Pike,20.000000,40.000000,Normal,K,IV,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
5,5,Rochelle,-115.000000,-16.000000,Normal,K,V,7,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
6,6,Freedom,-65.000000,109.000000,Normal,M,V,5,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
7,7,Ryde,-46.000000,92.000000,Normal,F,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
8,8,Sevren,-45.000000,316.000000,Normal,K,III,0,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
9,9,Thorin,-24.000000,8.000000,Normal,G,V,7,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
10,10,Nirasaki,35.000000,20.000000,Normal,F,IV,3,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
11,11,Tall Trees,1.000000,-67.000000,Normal,M,IV,2,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
12,12,Zurich,19.000000,-63.000000,Normal,K,V,4,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
13,13,Denebola,-38.000000,-2.000000,Normal,K,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
14,14,Oliver,-32.000000,-7.000000,Normal,M,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
15,15,Procyon,-5.000000,-13.000000,Normal,F,V,5,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
16,16,Muphrid,-28.000000,15.000000,Normal,G,V,8,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
17,17,Northwind,34.000000,-3.000000,Normal,G,IV,2,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
18,18,Shiloh,-89.000000,-5.000000,Normal,A,V,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
19,19,Castor,-41.000000,-17.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
20,20,Saffel,26.000000,12.000000,Normal,K,VI,3,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
21,21,Marik,-80.000000,-76.000000,Normal,K,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
22,22,Quentin,46.000000,12.000000,Normal,K,IV,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
23,23,Tigress,75.000000,-30.000000,Normal,None,V,7,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
24,24,Dieudonne,-76.000000,-26.000000,Normal,F,V,3,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
25,25,Nusakan,-35.000000,44.000000,Normal,K,V,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
26,26,Lipton,-35.000000,6.000000,Normal,G,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
27,27,Hall,-14.000000,-45.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
28,28,New Home,6.000000,-13.000000,Normal,G,IV,4,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
29,29,Summer,-45.000000,26.000000,Normal,M,V,4,Normal,Zenith,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
30,30,Epsilon Eridani,19.000000,-21.000000,Normal,K,IV,2,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
31,31,Nashira,48.000000,34.000000,Normal,K,IV,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
32,32,Ingress,50.000000,-19.000000,Normal,G,V,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
33,33,Ko,-18.000000,44.000000,Normal,G,IV,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
34,34,Cor Caroli,-63.000000,16.000000,Normal,A,"VI,V",0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
35,35,Caph,13.000000,-1.000000,Normal,G,V,5,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
36,36,Chesterton,117.000000,-72.000000,Normal,G,V,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
37,37,Kervil,34.000000,46.000000,Normal,K,V,3,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
38,38,Cartago,141.000000,-10.000000,Normal,F,V,3,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
39,39,Carver,-5.000000,-21.000000,Normal,K,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
40,40,Asta,4.000000,26.000000,Normal,K,VI,2,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
41,41,Epsilon Indi,29.000000,-16.000000,Normal,F,V,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
42,42,Ozawa,85.000000,3.000000,Normal,K,II,5,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
43,43,Milton,-64.000000,4.000000,Normal,G,V,3,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
44,44,Styx,26.000000,26.000000,Normal,F,IV,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
45,45,Outreach,-3.000000,-35.000000,Normal,K,V,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
46,46,Edwards,133.000000,-33.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
47,47,Doneval,200.000000,9.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
48,48,Callison,-63.000000,-15.000000,Normal,G,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
49,49,Keid,3.000000,-8.500000,Normal,G,IV,6,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
50,50,Imbros,-2.000000,34.000000,Normal,M,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
51,51,Mallory's World,112.000000,6.000000,Normal,G,I,2,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
52,52,Syrma,-58.000000,39.000000,Normal,F,V,6,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
53,53,Mizar,-55.000000,21.000000,DoubleBinary,A,V,2,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
54,54,Altair,9.000000,14.000000,Normal,F,III,7,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
55,55,Lambrecht,14.000000,58.000000,Normal,G,IV,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
56,56,Ascella,21.000000,75.000000,Normal,A,VI,4,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
57,57,Basalt,67.000000,-29.000000,Normal,G,IV,4,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
58,58,Zion,15.000000,-84.000000,Normal,F,III,7,Normal,Zenith,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
59,59,Telos,44.000000,41.000000,Normal,K,IV,7,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
60,60,Eltanin,-2.000000,100.000000,Normal,K,IV,5,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RogueSystems"")",None,None
61,61,Rukbat,42.000000,110.000000,Normal,K,IV,9,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RogueSystems"")",/Game/Campaign/CampaignArcs/Regions/12_3/12_3.12_3,None
62,62,McHenry,181.000000,-85.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_7"")",None,None
63,63,Dyev,6.000000,41.000000,Normal,K,III,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
64,64,Demeter,92.000000,-70.000000,Normal,M,V,2,Normal,Zenith,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_5"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_7_5_Blob.Safezone_7_5_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_7_5.Safezone_7_5
65,65,Eaton,-82.000000,114.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
66,66,Blue Diamond,-42.000000,183.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_28"")",None,None
67,67,Laiaka,-101.000000,55.000000,Normal,M,V,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
68,68,Capolla,8.000000,-42.000000,Normal,F,VI,6,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
69,69,Terra Firma,23.000000,-34.000000,Normal,G,V,8,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
70,70,Skat,94.000000,27.000000,Normal,F,V,7,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
72,72,Fomalhaut,21.000000,5.000000,Normal,A,V,3,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
73,73,Sheratan,40.000000,-21.000000,Normal,K,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
74,74,Piedmont,80.000000,78.000000,Normal,G,IV,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
75,75,Bryant,14.000000,-14.000000,Normal,F,IV,5,Normal,Zenith,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
76,76,Helen,58.000000,10.000000,Normal,M,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
77,77,Muskegon,166.000000,-100.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_7"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_7_Blob.Safezone_7_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_7.Safezone_7
78,78,Zavijava,-32.000000,0.000000,Normal,M,V,3,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
79,79,Arboris,44.000000,-52.000000,Normal,K,IV,1,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
80,80,Yorii,-8.000000,21.000000,Normal,F,V,6,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
81,81,Hsien,6.000000,-55.000000,Normal,G,V,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:StoryCluster1"")",/Game/Campaign/CampaignArcs/Regions/StoryCluster_01/StoryCluster_1_STM.StoryCluster_1_STM,None
82,82,Kawich,54.000000,-30.000000,Normal,M,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
83,83,Autumn Wind,-169.000000,-88.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
84,84,Connaught,-55.000000,-41.000000,Normal,M,V,2,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
85,85,Graham,-24.000000,-10.000000,Normal,G,V,2,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
86,86,Moore,6.000000,65.000000,Normal,K,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
87,87,Aldebaran,26.000000,-65.000000,Normal,K,III,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
88,88,Kessel,-13.000000,84.000000,Normal,G,V,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RogueSystems"")",None,None
89,89,Small World,52.000000,-7.000000,Normal,M,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
90,90,Foot Fall,95.000000,-111.000000,Normal,M,III,9,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:A2M1_Cluster"")",/Game/Campaign/CampaignArcs/MetagameObjectives/CampaignClusters/A2M1.A2M1,None
91,91,Robinson,235.000000,-7.000000,Normal,G,IV,5,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
92,92,Alphecca,-47.000000,63.000000,Normal,A,V,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
93,93,Lyons,-23.000000,39.000000,Normal,F,V,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
94,94,Wasat,-20.000000,-55.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
95,95,Atria,-16.000000,52.000000,Normal,K,IV,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
96,96,Alkalurops,-38.000000,48.500000,Normal,A,IV,7,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
97,97,Junction,136.000000,79.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
98,98,Alcor,-75.000000,29.000000,Normal,A,V,5,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_15"")",None,None
99,99,Auldhouse,-51.000000,140.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
100,100,Irian,-47.000000,-57.000000,Normal,G,III,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
101,101,Menkent,-39.000000,23.000000,Normal,K,IV,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
102,102,Devil's Rock,-36.000000,-15.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
103,103,Sadalbari,139.000000,43.000000,Normal,K,VI,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
104,104,New Olympia,-151.000000,-131.000000,Normal,G,V,1,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
105,105,Phecda,-75.000000,-2.000000,Normal,A,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
106,106,Sirius,-3.000000,-8.000000,Normal,A,V,1,Normal,None,Unspecified,H_0,,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
107,107,Asuncion,5.000000,-102.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
108,108,Woodstock,45.000000,-37.000000,Normal,G,V,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
109,109,Stewart,-120.000000,-52.000000,Normal,G,V,8,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
110,110,Skondia,-32.000000,56.000000,Normal,F,V,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
111,111,Markab,99.000000,23.000000,Normal,M,IV,2,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
112,112,Errai,53.000000,4.000000,Normal,M,IV,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
113,113,Sarna,56.000000,-156.000000,Normal,F,IV,8,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:TsinghaiCommonality"")",None,None
114,114,Gei-Fu,58.000000,-201.000000,Normal,F,II,5,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
115,115,Biham,71.500000,37.500000,Normal,A,VI,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
116,116,Wing,-76.000000,-11.000000,Normal,K,V,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
117,117,Genoa,39.000000,-60.000000,Normal,M,III,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
118,118,Hamilton (FWL),-36.000000,-82.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
119,119,Konstance,-20.000000,97.000000,Normal,K,IV,1,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
120,120,Quemoy,45.000000,-153.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
121,121,Ruchbah,58.000000,-23.000000,Normal,F,VI,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
122,122,Hamal,65.000000,-44.000000,Normal,K,III,2,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
123,123,Yangtze,76.000000,-44.000000,Normal,G,V,6,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
124,124,Waddesdon,100.000000,93.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
125,125,Algedi,67.000000,96.000000,Normal,A,IV,7,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
126,126,Logandale,144.000000,-36.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
127,127,Beten Kaitos,169.000000,-114.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_7"")",None,None
128,128,Emerson,174.000000,-117.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
129,129,Dabih,60.000000,85.000000,Normal,F,IV,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RogueSystems"")",None,None
130,130,Kitalpha,114.000000,98.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
131,131,Mariefred,-182.000000,26.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
132,132,Ashio,74.000000,68.000000,Normal,G,IV,6,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
133,133,Homam,148.000000,52.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
134,134,Scheat,170.000000,42.000000,Normal,G,IV,0,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
135,135,Tongatapu,-173.000000,-143.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_21"")",None,None
136,136,Nathan,-69.500000,-49.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
137,137,Remulac,-74.000000,-40.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
138,138,Alrakis,-20.000000,83.000000,Normal,K,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
139,139,Halstead Station,79.000000,44.000000,Normal,M,II,4,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
140,140,Royal,224.000000,45.000000,Normal,G,V,2,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
141,141,Ideyld,-203.000000,-98.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_13"")",None,None
142,142,Chertan,-75.000000,-16.000000,Normal,A,V,3,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
143,143,Alchiba,-68.500000,1.500000,Normal,F,VI,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
144,144,Alula Australis,-25.000000,-5.000000,Normal,A,II,7,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
145,145,Algol,64.000000,-68.000000,Binary,A,VI,1,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
146,146,Mara,123.000000,9.000000,Normal,F,V,4,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
147,147,Batavia,203.000000,-56.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
148,148,Bandora,13.000000,-179.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
149,149,Kuzuu,23.000000,67.000000,Normal,K,V,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
