---,Name,StarSystemName,PosX,PosY,SystemType,SpectralType,Luminosity,SubType,SystemStatus,ChargingStation,Orbitals,Habitable,Description,Cluster,ClusterOverlay,ClusterConstellation
0,0,INVALID,0.0,0.0,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
1,1,Terra,0.0,0.0,Normal,G,V,2,Normal,None,C_8,H_0,,"(Id=""MWFactionAsset:RepairSystem"")",None,None
4001,4001,Santiago IV,-365.9739990234375,930.9940185546875,Normal,F,V,1,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4002,4002,Mostaganem,-996.5070190429688,100.03399658203125,Normal,K,V,2,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4003,4003,Halkidik,982.3289794921875,202.08200073242188,Normal,F,V,7,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4004,4004,SLSC A0V.4900 (Monument to Man),852.9299926757812,538.7559814453125,Normal,M,V,1,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4005,4005,Lemnos,990.468994140625,192.53799438476562,Normal,K,V,7,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4006,4006,Köl�,-705.9190063476562,721.7230224609375,Normal,G,V,1,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4007,4007,Tadjoura,-995.551025390625,174.9250030517578,Normal,F,V,6,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4008,4008,Nyamlell,-999.989990234375,149.70199584960938,Normal,G,V,2,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4009,4009,Anglia,994.4639892578125,204.91799926757812,Normal,F,V,7,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4010,4010,Saidia,-1008.1599731445312,124.2020034790039,Normal,G,V,7,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4011,4011,Hamburg,-624.7559814453125,807.2260131835938,Normal,K,V,7,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4012,4012,Thorn,-774.4299926757812,666.56201171875,Normal,G,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4013,4013,Lynn,-761.8930053710938,684.4400024414062,Normal,F,V,9,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4014,4014,Tomalov,-664.7130126953125,780.2789916992188,Normal,M,V,6,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4015,4015,Kapoeta,-1011.2100219726562,191.44700622558594,Normal,G,V,8,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4016,4016,Mauna Loa,1026.489990234375,-119.15799713134766,Normal,M,IV,6,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4017,4017,Doggerbank,-994.6680297851562,-280.9129943847656,Normal,K,V,5,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4018,4018,Illizi,-1026.5899658203125,148.02099609375,Normal,G,V,3,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4019,4019,Transfer Station P9,-115.44100189208984,1037.6600341796875,Normal,G,II,3,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4020,4020,Ksabi,-1039.030029296875,114.73899841308594,Normal,F,V,3,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4021,4021,Tizga,-1037.3699951171875,129.5919952392578,Normal,K,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4022,4022,Kefya,-1034.0699462890625,178.625,Normal,G,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4023,4023,Danzig,-642.9429931640625,847.97998046875,Normal,M,V,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4024,4024,Salonika,436.24200439453125,973.8179931640625,Normal,A,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4025,4025,Bergen,-767.7529907226562,741.89697265625,Normal,M,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4026,4026,Dortmund,-733.281982421875,782.4769897460938,Normal,G,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4027,4027,Lübec�,-703.2739868164062,817.9660034179688,Normal,M,V,5,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4028,4028,Ctesiphon,321.68499755859375,1044.93994140625,Normal,M,III,2,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4029,4029,Braunschweig,-687.5880126953125,850.5910034179688,Normal,F,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4030,4030,Antwerp,-669.4910278320312,870.4140014648438,Normal,G,V,7,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4031,4031,Visby,-811.2780151367188,740.3380126953125,Normal,K,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4032,4032,Ramsey,-402.6919860839844,1025.93994140625,Normal,G,V,8,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4033,4033,Argondale,-943.156982421875,-574.844970703125,Normal,M,V,4,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4034,4034,Malador Cluster,-1045.9300537109375,-381.2359924316406,Normal,K,V,2,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4035,4035,Star Cluster 814,-1022.7000122070312,-449.4670104980469,Normal,F,V,5,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4036,4036,Refuel Base Gamma,-1098.4599609375,-238.27999877929688,Normal,K,V,8,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4037,4037,Bremen (HL),-792.6519775390625,807.0850219726562,Normal,G,V,3,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4038,4038,Melidron,-602.5670166015625,-971.9099731445312,Normal,M,V,5,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4039,4039,Falsterbo (HL),-771.93798828125,844.0499877929688,Normal,G,V,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4040,4040,Dorpat,-731.9320068359375,884.2869873046875,Normal,G,V,6,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4041,4041,Anklan,-862.5070190429688,780.8099975585938,Normal,F,V,8,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4042,4042,St. Jean,-467.4179992675781,1066.010009765625,Normal,M,V,7,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4043,4043,Elbing (HL),-831.8629760742188,819.2239990234375,Normal,M,V,2,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4044,4044,Kampen,-739.7139892578125,907.1849975585938,Normal,F,V,9,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4045,4045,Hallelujah,-667.3040161132812,970.6680297851562,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4046,4046,Ghent,211.24000549316406,1164.47998046875,Normal,G,III,2,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4047,4047,Bruges,-787.0260009765625,886.4199829101562,Normal,M,V,5,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4048,4048,Drachenfeld,1182.5899658203125,-105.93099975585938,Normal,M,V,2,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
4049,4049,Kalmar (HL),-824.6530151367188,862.7899780273438,Normal,G,V,9,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
